NUMFACTURA,FECHA,FUEPAGADA,PRECIO,IDDOTACION,IDSERVICIO,IDESTADIA,NUMDOCEMPLEADO,IDPRODUCTO,IDCONVENCION,IDDOTACIONSALON
145,13/05/2024,0,5625375,,3,,1010101591,1,140,
146,10/02/2024,0,269472,,10,,1010101592,13,141,
147,03/08/2024,1,7200046,,6,,1010101592,11,142,
148,25/09/2024,0,5800983,,22,,1010101589,11,143,
149,24/10/2024,0,7032223,,15,,1010101592,8,144,
150,01/07/2024,1,4271086,,4,,1010101590,14,145,
151,29/06/2024,0,2987925,,3,,1010101590,2,146,
152,30/08/2024,1,9449685,,10,,1010101592,11,147,
153,17/05/2024,0,3849401,,8,,1010101592,13,148,
154,22/04/2024,0,1053802,,22,,1010101592,13,149,
155,16/05/2024,1,8957253,,22,,1010101589,9,150,
156,02/10/2024,1,1022966,,4,,1010101590,9,151,
157,06/02/2024,1,9488540,,15,,1010101590,8,152,
158,30/10/2024,1,5817407,,4,,1010101591,9,153,
159,04/04/2024,0,2267753,,11,,1010101591,8,154,
160,17/09/2024,1,6432625,,10,,1010101592,2,155,
161,27/06/2024,0,592340,,3,,1010101592,11,156,
162,25/06/2024,1,5212562,,10,,1010101592,12,157,
163,30/07/2024,0,3286211,,1,,1010101590,2,158,
164,18/08/2024,0,875295,,8,,1010101590,14,159,
165,02/11/2024,1,8632149,,11,,1010101589,9,160,
166,27/01/2024,1,9394586,,14,,1010101592,9,161,
167,11/06/2024,1,7820144,,3,,1010101589,1,162,
168,09/11/2024,0,7524820,,3,,1010101592,15,163,
169,27/02/2024,1,3033388,,7,,1010101591,14,164,
170,23/05/2024,0,178597,,1,,1010101589,9,165,
171,19/12/2024,0,6533694,,3,,1010101592,14,166,
172,26/09/2024,0,3032553,,4,,1010101590,1,167,
173,25/08/2024,1,9700349,,8,,1010101592,8,168,
174,27/04/2024,1,2478327,,8,,1010101590,13,169,
175,04/04/2024,0,3229753,,22,,1010101592,12,170,
176,24/04/2024,1,9847994,,6,,1010101590,1,171,
177,03/02/2024,1,4657865,,22,,1010101590,12,172,
178,03/04/2024,0,8102291,,4,,1010101592,8,173,
179,05/06/2024,1,8085200,,14,,1010101590,12,174,
180,21/04/2024,0,1157439,,3,,1010101592,14,175,
181,25/01/2024,0,9530632,,8,,1010101591,12,176,
182,28/06/2024,0,8802051,,1,,1010101589,11,177,
183,09/02/2024,1,7467945,,22,,1010101590,11,178,
184,10/09/2024,1,3600474,,7,,1010101590,9,179,
185,21/08/2024,1,7071275,,6,,1010101592,12,180,
186,15/10/2024,1,8985618,,11,,1010101591,14,181,
187,20/08/2024,1,1378183,,8,,1010101589,2,182,
188,28/08/2024,0,6009852,,10,,1010101591,8,183,
189,10/07/2024,1,4553215,,10,,1010101591,15,184,
190,28/09/2024,0,6372590,,15,,1010101590,13,185,
191,17/11/2024,1,4346513,,6,,1010101589,12,186,
192,18/07/2024,0,1093821,,8,,1010101590,15,187,
193,28/06/2024,1,9212638,,22,,1010101590,1,188,
194,09/01/2024,1,7837991,,22,,1010101592,8,189,
195,20/02/2024,0,3739819,,4,,1010101591,9,190,
196,16/05/2024,1,6318203,,8,,1010101592,9,191,
197,31/10/2024,0,4566538,,1,,1010101589,2,192,
198,12/10/2024,1,5478006,,1,,1010101589,15,193,
199,09/06/2024,1,2215451,,1,,1010101592,9,194,
200,09/08/2024,0,8045770,,15,,1010101590,15,195,
201,01/02/2024,1,1472579,,14,,1010101590,9,196,
202,19/09/2024,1,5413402,,15,,1010101591,12,197,
203,16/03/2024,1,8509580,,11,,1010101592,13,198,
204,04/01/2024,1,8492689,,11,,1010101592,1,199,
205,12/08/2024,1,2525176,,4,,1010101591,14,200,
206,18/07/2024,1,4359655,,11,,1010101591,15,201,
207,25/11/2024,1,3268436,,10,,1010101592,15,202,
208,25/10/2024,1,8939894,,10,,1010101591,15,203,
209,09/12/2024,1,2648014,,11,,1010101592,15,204,
210,02/08/2024,0,3090875,,11,,1010101590,8,205,
211,04/07/2024,0,240956,,14,,1010101589,9,206,
212,23/07/2024,0,7289133,,15,,1010101589,1,207,
213,16/06/2024,0,5381820,,1,,1010101592,2,208,
214,15/02/2024,1,3480089,,4,,1010101591,9,209,
